sender_epk_id,recipient_epk_id,amount,transferdt,bad_flag
EPK_000102,EPK_000181,1542.9,2024-01-01 00:05:20.868080,False
EPK_000435,EPK_000012,2610.84,2024-01-01 00:26:40.942508,False
EPK_000348,EPK_000338,1930.56,,False
EPK_000270,EPK_000284,750.72,2024-01-01 00:52:29.544584,False
EPK_000106,EPK_000258,490.93,2024-01-01 01:04:38.693963,False
EPK_000071,EPK_000089,452.89,2024-01-01 01:57:02.081537,False
EPK_000188,EPK_000103,273.72,,False
EPK_000020,EPK_000378,216.33,,False
EPK_000102,EPK_000185,17286.76,,True
EPK_000121,EPK_000249,1322.22,2024-01-01 03:41:18.715908,False
EPK_000466,EPK_000254,868.74,2024-01-01 04:00:47.939052,False
EPK_000214,EPK_000075,521.22,2024-01-01 04:24:50.349106,False
EPK_000330,EPK_000385,2086.66,2024-01-01 05:00:20.766282,False
EPK_000458,EPK_000280,6670.81,2024-01-01 05:04:27.941038,False
EPK_000087,EPK_000107,3245.08,2024-01-01 05:08:31.075848,False
EPK_000372,EPK_000155,4369.41,2024-01-01 06:45:52.661096,False
EPK_000099,EPK_000081,454.96,2024-01-01 06:58:34.445312,False
EPK_000359,EPK_000076,1089.86,2024-01-01 07:16:15.617782,False
EPK_000151,EPK_000484,464.02,2024-01-01 07:20:25.366449,False
EPK_000130,EPK_000469,1287.62,2024-01-01 07:53:23.783352,False
EPK_000149,EPK_000459,7397.42,2024-01-01 08:15:57.423488,False
EPK_000308,EPK_000257,2119.86,2024-01-01 08:19:18.579510,False
EPK_000257,EPK_000126,12582.62,2024-01-01 08:24:56.415206,False
EPK_000343,EPK_000484,711.39,,False
EPK_000491,EPK_000390,326.87,2024-01-01 09:41:53.559089,False
EPK_000413,EPK_000281,2364.19,2024-01-01 09:45:19.287457,False
EPK_000293,EPK_000473,1310.66,2024-01-01 09:52:35.772833,False
EPK_000385,EPK_000087,1779.44,2024-01-01 10:55:20.271612,False
EPK_000191,EPK_000203,1422.02,,False
EPK_000443,EPK_000015,530.25,2024-01-01 14:15:21.932784,False
EPK_000276,EPK_000150,1470.86,2024-01-01 15:02:57.815231,False
EPK_000160,EPK_000423,4722.32,2024-01-01 16:23:49.171010,False
EPK_000459,EPK_000253,5509.13,,False
EPK_000313,EPK_000187,526.22,,False
EPK_000021,EPK_000328,1550.77,2024-01-01 18:37:23.406799,False
EPK_000252,EPK_000031,10053.4,2024-01-01 18:43:59.387146,False
EPK_000235,EPK_000270,543.57,,False
EPK_000344,EPK_000484,413.99,2024-01-01 18:50:22.312809,False
EPK_000048,EPK_000396,3610.51,,False
